Nombre,Edad,Altura,Peso,Nacionalidad,General,Potencia,Club,Valor_euro,Pie_habil,Ritmo,Disparo,Total_pases,Regate,Defensa,Fisico,Finalización,Precision_cabeza,Volea,Control_balon,Aceleracion,Sprint,Agilidad,Reaccion,Balance,Potencia_disparo,Salto,Resistencia,Fuerza,Tiros_largos,Agrecion,Intercepciones,Posicionamiento,Vision,Penaltis
4800,G. Scalvini,18,194,75,Italy,70,86,Atalanta,3800000,Right,55,29,44,52,72,67,23,70,31,65,55,55,38,72,49,44,71,68,67,28,67,71,28,38,35
4801,Jesús Vázquez,19,182,77,Spain,70,81,Valencia CF,3300000,Left,69,49,64,64,67,62,41,64,56,67,68,70,65,68,63,64,58,62,63,51,59,63,58,53,42
4802,C. Fai,29,167,63,Cameroon,70,70,Al Tai,1400000,Right,85,32,58,68,65,72,22,53,23,63,87,83,91,66,88,54,89,76,66,28,78,65,58,59,34
4803,T. Pembélé,19,182,76,France,70,81,Paris Saint-Germain,3300000,Right,87,49,63,71,64,64,48,60,31,73,86,88,78,66,66,58,66,67,64,43,59,62,65,63,45
4804,Patrick William,25,185,78,Brazil,70,76,Rio Ave FC,2200000,Right,57,64,63,56,69,75,54,67,56,60,53,60,49,67,50,85,87,73,77,75,71,69,33,60,57
4805,C. Devlin,24,176,78,Australia,70,77,Heart of Midlothian,3200000,Right,70,55,65,71,68,74,58,51,48,73,73,68,78,71,86,52,60,90,62,52,86,71,66,66,46
4807,Waldo,26,182,75,Spain,70,70,CD Tenerife,1700000,Right,83,70,62,74,35,60,66,64,71,70,87,79,83,69,81,78,79,58,60,73,60,40,67,58,70
4808,S. Arzamendia,24,172,72,Paraguay,70,77,Cádiz CF,3000000,Left,73,57,61,67,67,59,51,40,37,70,72,73,71,62,79,65,52,65,53,71,70,63,47,35,45
4809,I. Saavedra,23,174,73,Chile,70,77,Universidad Católica,3200000,Right,66,57,62,70,59,74,56,43,33,70,66,66,80,72,70,59,70,82,73,61,66,60,64,67,50
4810,A. Hassan,28,186,81,Qatar,70,70,Free agent,0,Left,74,67,65,64,65,81,57,66,59,67,68,79,57,59,62,86,71,82,81,77,84,62,67,62,45
4811,I. Voca,25,181,74,Kosovo,70,74,Cosenza,2000000,Right,63,51,63,67,69,70,52,63,41,69,61,64,66,67,70,53,79,76,70,47,60,66,53,64,48
4812,A. Lusamba,25,180,74,France,70,74,Aytemiz Alanyaspor,2200000,Right,72,64,70,74,64,70,64,61,53,74,73,71,81,69,77,66,80,78,73,61,50,68,70,72,69
4813,N. Pasquini,31,172,76,Argentina,70,70,Club Atlético Lanús,1200000,Left,77,59,72,63,65,70,47,57,57,65,78,76,74,56,68,80,58,85,68,67,59,66,58,72,57
4814,A. Schäfer,23,178,72,Hungary,70,79,1. FC Union Berlin,3500000,Right,72,61,66,70,62,59,57,48,45,73,70,74,75,74,74,67,42,72,52,71,65,73,72,63,42
4815,D. Ignatenko,25,190,80,Ukraine,70,75,FC Girondins de Bordeaux,2300000,Right,51,53,69,67,72,82,49,71,44,69,50,52,56,72,52,68,56,75,87,48,83,71,69,68,48
4816,P. Wiesinger,28,181,74,Austria,70,72,LASK Linz,1600000,Left,70,54,58,60,71,71,48,70,47,65,69,71,57,70,70,68,80,72,69,53,71,70,56,48,67
4817,M. Bokadi,26,186,85,Congo DR,70,75,Standard de Liège,2100000,Right,60,33,53,62,70,75,24,71,30,64,53,66,50,69,61,47,46,80,74,36,76,70,38,54,35
4818,T. van Weert,32,183,78,Netherlands,70,70,AEK Athens,1300000,Right,69,70,57,68,28,75,73,70,60,68,70,69,70,70,73,70,85,73,77,66,71,20,73,64,70
4819,D. Yedlin,28,172,75,United States,70,70,Inter Miami CF,1400000,Right,90,51,58,65,64,72,40,55,60,60,89,91,90,65,83,73,92,76,67,51,73,66,62,57,38
4820,E. Zenga,29,181,78,Germany,70,70,SV Sandhausen,1400000,Right,78,56,67,70,66,69,56,59,47,72,79,77,72,70,69,58,75,65,68,55,76,66,63,69,45
4821,A. Rodríguez,22,172,61,Ecuador,70,76,C.D. Universidad Católica del Ecuador,2600000,Right,90,57,61,71,42,55,66,40,32,64,90,90,83,66,63,39,52,70,50,54,49,40,67,64,70
4822,Y. Osorio,28,186,80,Venezuela,70,72,Parma,1600000,Right,55,31,44,51,69,78,25,70,35,59,55,55,49,68,44,40,74,71,82,30,77,69,30,33,40
4823,C. Sørensen,29,179,67,Denmark,70,70,F.C. København,1400000,Left,83,59,70,69,60,73,55,38,52,68,84,83,81,68,80,68,76,90,65,62,70,65,67,69,48
4824,R. Leonard,30,185,82,England,70,70,Millwall,1300000,Right,77,65,65,67,67,78,58,60,68,64,75,78,78,70,69,80,79,84,79,68,70,66,61,65,53
4825,Q. Merlin,20,173,67,France,70,84,FC Nantes,3700000,Left,70,59,69,75,64,58,49,50,67,76,72,68,71,61,80,69,62,74,50,66,55,61,71,64,55
4826,J. Fulton,28,186,80,Scotland,70,71,Swansea City,1500000,Right,62,55,61,66,70,72,53,69,45,68,63,62,69,64,67,65,59,66,73,50,82,68,57,62,51
4827,N. Raskin,21,178,74,Belgium,70,80,Standard de Liège,3600000,Right,68,62,70,72,65,75,57,66,58,73,70,67,77,67,77,71,80,82,68,68,82,68,54,70,58
4828,A. Modiba,26,172,72,South Africa,70,70,Mamelodi Sundowns FC,1600000,Left,82,58,68,73,65,49,53,59,54,71,84,80,71,64,82,65,38,66,51,62,26,62,66,68,53
4829,F. Torrent,30,173,72,Argentina,70,70,Rosario Central,1400000,Right,78,49,61,69,63,72,40,53,43,67,77,79,75,67,67,63,69,79,70,55,71,65,61,51,46
4830,J. Caicedo,32,180,80,Colombia,70,70,Club Deportes Tolima,1300000,Right,64,70,60,63,33,66,75,70,65,63,61,67,65,70,48,66,71,50,82,60,43,20,76,64,70
4832,G. Hein,25,170,65,France,70,71,AJ Auxerre,1900000,Left,79,68,66,75,34,54,67,31,51,73,81,78,90,59,90,74,67,57,48,75,61,39,61,62,51
4833,C. De Norre,25,175,75,Belgium,70,73,Oud-Heverlee Leuven,2100000,Right,69,63,66,71,66,70,60,49,56,73,70,69,70,67,77,73,80,82,63,62,70,69,70,58,51
4834,D. Mantilla,25,172,70,Colombia,70,73,Atlético Nacional,2100000,Right,77,65,66,69,42,62,64,43,53,67,80,74,83,67,78,67,59,72,59,66,60,39,72,71,64
4835,Eltson Marques,30,188,88,Brazil,70,70,Internacional,1300000,Right,40,43,43,49,70,70,37,77,43,68,44,36,35,75,36,57,36,44,88,42,66,74,28,39,51
4836,C. Menéndez,34,185,83,Argentina,70,70,Atlético Tucumán,775000,Right,65,69,59,68,38,73,68,75,65,71,65,65,74,70,57,73,80,64,84,65,56,47,72,69,70
4837,Rober Correa,29,180,71,Spain,70,70,SD Eibar,1400000,Right,74,43,59,63,67,77,38,63,40,63,71,76,73,66,73,64,73,80,76,36,76,65,44,54,40
4838,B. Mikeltadze,24,185,77,Georgia,70,75,Newcastle Jets,2400000,Right,75,68,64,70,32,66,73,65,54,71,75,75,72,68,68,62,73,76,67,62,50,26,78,68,71
4839,A. Schöpf,28,178,74,Austria,70,70,Vancouver Whitecaps FC,1600000,Right,70,66,69,70,63,71,64,44,65,69,74,67,74,72,76,68,63,91,65,69,64,65,70,68,64
4840,Carlos Domínguez,21,187,71,Spain,70,78,RC Celta de Vigo,3300000,Left,67,28,53,50,71,63,29,74,18,64,64,69,46,68,56,36,74,56,63,15,70,71,40,33,38
4841,L. Mancuso,30,182,77,Italy,70,70,Como,1600000,Right,75,69,61,73,34,68,70,64,68,73,72,78,81,72,80,70,70,82,67,64,50,36,75,66,70
4842,Cao Yunding,32,173,70,China PR,70,70,Shanghai Shenhua FC,1300000,Right,81,63,66,70,36,66,60,57,56,64,83,80,83,62,80,71,72,78,60,64,64,35,65,66,60
4843,G. Kargas,27,188,78,Greece,70,72,PAOK,1700000,Right,69,46,51,54,70,72,42,74,22,62,70,68,50,70,57,59,75,70,71,47,75,68,48,39,52
4844,M. Turay,27,180,75,Sierra Leone,70,70,Malmö FF,1700000,Right,89,67,51,72,28,75,70,70,58,68,87,91,87,68,74,66,82,77,71,63,82,23,72,57,61
4845,K. Przybyłko,29,193,88,Poland,70,70,Chicago Fire Football Club,1600000,Right,65,69,59,63,28,78,70,74,67,68,65,65,60,73,49,71,79,78,85,65,58,22,75,66,58
4846,Benito,26,179,70,Spain,70,70,Unión Deportiva Las Palmas,1600000,Left,86,65,65,70,63,66,64,68,41,69,85,87,77,67,76,72,56,70,67,70,62,62,64,62,51
4847,J. Hogg,33,176,73,England,70,70,Huddersfield Town,800000,Right,58,53,61,66,69,76,51,64,47,67,62,55,64,66,72,64,82,76,72,50,84,69,54,54,41
4848,Adrián López,34,183,73,Spain,70,70,Málaga CF,775000,Right,71,71,69,70,27,60,70,69,70,71,70,71,71,70,62,71,70,44,68,69,58,32,74,71,76
4849,Vitor Marlão,26,178,71,Brazil,70,70,Fortaleza,1600000,Left,66,45,61,54,70,61,51,60,50,53,61,70,66,73,44,46,42,59,68,34,51,67,38,43,42
4850,Nuno Moldeiro,26,179,79,Brazil,70,70,Sport Club Corinthians Paulista,1700000,Left,82,61,65,72,37,63,62,51,48,70,81,82,80,67,74,64,67,71,65,58,48,38,61,64,58
4851,F. Andone,29,180,78,Romania,70,70,Unión Deportiva Las Palmas,1600000,Right,67,71,62,70,51,65,70,73,72,70,68,67,70,70,68,73,76,51,65,69,81,51,73,67,70
4852,G. Hairemans,30,183,64,Belgium,70,70,KV Mechelen,1500000,Left,42,68,76,71,45,67,61,38,62,76,50,36,58,69,67,78,47,73,69,73,58,53,70,75,71
4853,D. Srbeny,28,190,83,Germany,70,70,SC Paderborn 07,1600000,Right,68,68,59,69,33,72,70,68,60,72,67,69,69,74,44,74,77,71,77,57,58,30,72,66,65
4854,M. Thychosen,25,178,75,Denmark,70,74,FC Midtjylland,2000000,Right,77,52,62,68,68,76,50,68,52,67,76,78,78,67,78,62,81,79,76,50,70,66,58,56,40
4855,A. Esiti,28,189,84,Nigeria,70,71,Ferencvárosi TC,1500000,Right,55,46,57,58,70,80,33,66,35,64,61,50,36,60,40,70,46,72,87,51,82,71,48,52,55
4858,S. Sithembe,29,170,62,South Africa,70,70,Kaizer Chiefs,1600000,Right,80,57,73,72,55,63,53,50,65,75,78,82,73,70,83,66,76,68,58,54,64,42,58,77,68
4859,D. Ballard,22,187,85,Northern Ireland,70,81,Sunderland,3300000,Right,52,30,49,50,71,73,25,70,31,59,48,55,44,68,48,44,71,58,80,26,73,70,36,49,37
4860,S. Bendebka,29,181,72,Algeria,70,70,Al Fateh,1600000,Right,74,66,66,71,58,72,70,62,61,70,77,71,74,71,75,66,70,91,65,56,67,64,74,66,64
4861,A. Salvi,34,183,76,Italy,70,70,Ascoli,575000,Right,74,59,64,67,67,75,56,60,51,66,75,73,82,70,74,64,80,79,71,61,78,62,61,63,60
4862,M. Aké,21,177,68,France,70,77,Juventus,3200000,Right,82,63,63,76,39,55,60,55,57,76,79,85,79,70,78,70,62,69,51,64,48,36,58,60,63
4863,K. Zenón,21,177,70,Argentina,70,80,Unión de Santa Fe,3600000,Left,82,67,65,73,42,55,64,54,48,71,81,82,83,59,80,76,49,70,53,70,44,39,69,60,59
4864,Jefté,28,186,79,Spain,70,70,CFR Cluj,1600000,Right,70,69,61,68,32,72,71,68,67,70,67,72,70,68,69,69,75,76,74,63,60,23,73,64,74
4865,T. Roberts,23,180,75,Wales,70,75,Queens Park Rangers,2400000,Right,72,68,66,74,38,70,69,65,59,74,73,72,79,65,74,70,56,71,76,65,57,37,70,68,70
4866,A. N'Diaye,32,188,82,Senegal,70,70,Málaga CF,1100000,Right,54,62,62,64,70,81,58,61,46,62,53,55,66,70,48,70,69,71,90,67,75,74,64,68,54
4868,R. Enrique,21,171,68,Argentina,70,82,Club Atlético Banfield,3900000,Right,79,71,60,70,26,63,73,65,64,70,81,77,78,60,81,76,90,83,59,66,39,24,72,63,58
4869,G. Lovrencsics,33,177,75,Hungary,70,70,Hajduk Split,825000,Right,81,65,65,66,64,71,58,64,58,65,84,78,75,67,75,80,85,68,74,70,63,68,58,68,70
4871,H. Veerman,31,201,90,Netherlands,70,70,FC Volendam,1300000,Right,73,68,48,57,30,79,71,72,55,62,67,78,34,72,31,72,71,67,89,59,69,29,72,48,62
4872,B. Luciatti,29,178,67,Argentina,70,71,Club Atlético Tigre,1500000,Left,65,50,45,53,71,77,51,72,35,51,64,66,70,70,74,59,83,75,83,46,65,68,25,22,52
4873,M. Capasso,26,188,87,Argentina,70,74,Atlético Tucumán,2000000,Right,54,35,40,47,72,75,35,68,31,58,53,55,42,68,48,46,75,64,84,22,65,71,32,34,43
4874,M. Barreto,31,175,67,France,70,70,AC Ajaccio,1300000,Right,79,62,67,71,27,64,60,47,52,69,80,79,88,60,76,68,78,72,62,64,53,45,61,59,67
4877,Álex Blanco,23,175,70,Spain,70,75,Como,2400000,Left,80,63,66,72,37,53,68,45,44,72,81,80,81,62,80,66,46,60,56,58,40,42,61,62,56
4878,T. Tsingaras,21,175,70,Greece,70,79,Toulouse Football Club,3400000,Right,70,57,64,67,68,68,58,66,53,70,72,69,72,62,78,58,66,80,65,55,63,66,59,65,45
4879,P. Mpoku,30,180,79,Congo DR,70,70,İttifak Holding Konyaspor,1500000,Right,72,71,73,70,46,68,67,54,73,70,74,70,68,67,71,75,72,68,71,74,58,52,70,69,75
4880,C. Arboleda,36,168,59,Colombia,70,70,La Equidad,350000,Right,81,51,64,69,66,53,47,40,46,67,80,81,85,69,89,58,90,76,33,52,65,66,60,60,46
4881,D. Musto,35,183,80,Argentina,70,70,FC Cartagena,450000,Right,41,49,60,58,71,75,34,68,32,61,33,48,44,67,55,69,68,66,78,65,81,74,59,59,39
4882,S. Mmaee,25,181,83,Morocco,70,74,Ferencvárosi TC,2000000,Right,62,32,48,56,70,75,28,68,24,56,63,62,66,59,66,49,77,64,78,26,79,64,22,46,34
4883,D. Warmerdam,26,180,66,Netherlands,70,71,FC Utrecht,1700000,Left,74,59,65,71,64,74,50,64,57,70,72,76,73,68,76,78,85,80,72,65,71,67,59,64,48
4884,T. Handwerker,24,182,74,Germany,70,74,1. FC Nürnberg,2100000,Left,81,50,60,67,62,72,42,52,43,66,84,79,74,65,71,63,67,93,66,59,61,68,56,55,36
4885,S. Pierotti,21,189,83,Argentina,70,77,Club Atlético Colón,3200000,Right,70,67,66,73,61,69,67,57,59,74,69,71,70,70,67,72,63,60,74,67,70,62,73,65,55
4886,Eduardo Quaresma,20,184,76,Portugal,70,82,TSG Hoffenheim,3600000,Right,58,31,47,56,70,70,28,66,30,65,49,65,40,68,56,44,80,55,75,23,75,71,28,35,43
4887,F. Brown Forbes,30,188,82,Costa Rica,70,70,Wuhan FC,1600000,Right,81,67,56,63,44,82,74,72,41,63,80,81,59,61,64,70,83,75,90,59,72,44,70,59,56
4888,W. Montoya,28,173,72,Argentina,70,70,Rosario Central,1600000,Right,76,63,67,71,54,71,54,46,48,69,76,76,75,68,76,78,63,74,71,72,71,52,67,69,51
4889,J. Portillo,22,182,75,Argentina,70,78,Unión de Santa Fe,3400000,Right,77,56,62,68,69,77,55,64,49,66,77,77,76,63,80,59,82,81,73,57,81,68,57,61,49
4890,Z. Bytyqi,25,176,70,Kosovo,70,71,İttifak Holding Konyaspor,1900000,Right,77,67,67,72,35,69,65,52,64,72,74,79,79,66,77,71,73,68,71,72,64,31,66,64,56
4891,F. Montero,34,175,74,Colombia,70,70,Seattle Sounders FC,775000,Right,58,73,68,70,43,60,73,69,74,72,58,58,68,69,70,72,66,63,62,73,50,40,74,71,82
4892,A. Rosi,35,180,80,Italy,70,70,Perugia,500000,Right,66,59,67,66,66,76,54,60,42,70,65,66,69,70,60,72,70,79,76,65,72,65,62,58,50
4893,Serginho,28,189,85,Brazil,70,70,Changchun Yatai FC,1600000,Left,69,73,72,72,45,76,73,65,65,73,63,74,70,67,66,76,56,77,85,75,55,42,72,73,70
4894,J. Léa Siliki,26,183,73,Cameroon,70,73,Estoril Praia,2100000,Left,67,62,70,72,69,70,53,68,65,71,68,67,74,70,69,72,63,72,69,67,71,67,68,69,64
4897,Jonaldo Monteiro,22,179,74,Brazil,70,70,Fortaleza,1700000,Left,74,51,66,61,64,71,51,61,53,61,75,74,71,72,73,52,56,81,67,45,71,63,55,61,61
4898,H. Wahl,28,189,85,Germany,70,70,Holstein Kiel,1400000,Right,56,32,55,63,71,74,30,69,21,68,49,62,60,68,66,44,73,79,77,24,60,74,29,59,45
4899,An Byong Jun,32,183,75,Korea DPR,70,70,Suwon Samsung Bluewings,1300000,Right,68,72,50,65,31,69,77,70,57,69,70,67,65,65,64,71,71,72,76,64,48,16,74,46,70
4900,G. Bergessio,37,179,79,Argentina,70,70,Platense,550000,Right,47,71,59,62,34,72,70,77,67,69,55,40,34,76,72,76,62,41,86,63,77,20,80,65,80
4901,A. Sampsted,24,180,72,Iceland,70,76,FK Bodø/Glimt,2400000,Right,81,47,60,67,63,72,48,56,37,66,81,81,78,65,77,51,81,90,66,42,60,63,60,58,44
4902,D. McCarty,35,175,68,United States,70,70,Nashville SC,450000,Right,44,54,65,65,68,74,46,62,56,67,54,35,65,70,75,68,59,85,70,53,75,67,54,63,66
4903,F. Girotti,23,190,84,Argentina,70,77,Club Atlético Talleres,3200000,Right,69,70,57,65,36,72,74,73,67,66,66,72,69,65,52,72,72,62,83,59,59,28,73,56,70
4904,F. Mayembo,26,184,86,Congo,70,74,AC Ajaccio,2000000,Right,45,38,46,51,69,83,31,71,29,58,45,45,46,67,34,67,69,78,92,34,69,67,26,33,27
4905,D. Diekmeier,32,188,79,Germany,70,70,SV Sandhausen,1100000,Right,75,40,63,63,66,72,26,66,28,65,74,75,58,69,49,69,70,72,74,39,67,67,53,57,44
4906,G. Togni,24,180,76,Argentina,70,71,Defensa y Justicia,2000000,Left,77,66,65,71,63,70,65,63,55,70,78,77,76,70,72,73,59,69,71,64,70,61,69,67,64
4907,Nuno da Costa,31,182,70,Cape Verde Islands,70,70,AJ Auxerre,1300000,Right,79,68,62,71,26,64,67,73,60,72,78,79,75,66,76,73,83,69,65,66,48,37,73,67,69
4908,J. Yueill,25,178,74,United States,70,74,San Jose Earthquakes,2000000,Right,59,61,68,67,65,72,56,63,66,68,64,54,67,70,68,71,59,83,68,61,69,67,60,68,56
4910,J. Bataille,23,180,74,Belgium,70,75,Royal Antwerp FC,2200000,Right,83,53,65,70,62,67,49,58,56,69,81,84,75,68,74,58,71,81,65,52,53,64,57,63,56
4911,Robert Navarro,20,178,69,Spain,70,80,Real Sociedad,3500000,Right,75,65,62,73,34,63,70,49,59,72,78,72,78,71,74,58,61,68,64,58,57,40,68,71,71
4912,F. Vera,24,178,75,Argentina,70,76,Unión de Santa Fe,2400000,Right,83,37,55,72,65,67,29,54,27,70,82,84,78,61,73,52,65,84,62,38,59,62,64,47,36
4913,L. Colwill,19,187,80,England,70,84,Brighton & Hove Albion,3500000,Left,69,34,58,62,69,73,26,65,33,64,68,70,55,68,67,45,76,66,78,38,69,69,43,57,39
4914,F. Jara,33,180,77,Argentina,70,70,FC Dallas,1000000,Right,73,71,65,71,29,70,71,64,70,70,72,74,75,67,61,74,69,64,76,69,65,28,69,64,72
4915,Pedro Díaz,24,180,78,Spain,70,79,Real Sporting de Gijón,3300000,Right,66,74,72,71,64,67,70,42,65,72,68,64,80,70,69,80,45,75,69,81,59,67,66,72,68
4916,Brenner,22,175,70,Brazil,70,78,FC Cincinnati,3600000,Right,77,69,62,74,30,52,73,67,64,73,74,79,76,66,75,63,62,63,52,65,35,22,74,62,66
4917,B. Mykhaylichenko,25,179,74,Ukraine,70,73,Shakhtar Donetsk,1900000,Left,75,59,67,70,66,71,52,58,51,68,74,75,79,65,78,72,80,71,67,65,79,64,63,61,42
4918,F. Calderón,24,187,80,Argentina,70,75,Unión de Santa Fe,2200000,Right,60,32,45,53,68,81,23,66,31,55,54,64,65,64,57,51,80,72,84,29,84,71,37,37,47
4919,S. Prediger,35,184,85,Argentina,70,70,Club Atlético Tigre,450000,Right,65,46,60,63,66,74,39,50,42,69,65,65,70,70,51,55,55,74,76,52,74,74,61,65,41
4920,K. Kamara,37,191,86,Sierra Leone,70,70,Club de Foot Montréal,550000,Right,69,69,62,69,36,75,70,75,66,69,64,73,68,69,64,72,90,72,77,62,69,34,69,66,72
4921,B. Baningime,23,178,70,Congo DR,70,77,Heart of Midlothian,3200000,Right,53,52,64,71,71,69,48,58,37,72,53,53,64,70,77,61,63,86,63,55,66,76,57,64,48
4922,A. Trusty,23,191,85,United States,70,76,Birmingham City,2300000,Left,78,40,49,59,69,80,29,65,32,60,76,79,57,69,50,54,82,78,84,49,70,69,34,29,52
4923,Filipe Soares,23,180,73,Portugal,70,77,PAOK,3200000,Right,66,67,68,72,56,67,65,51,63,74,67,65,69,72,67,77,56,73,67,67,63,60,69,68,53
4924,Luildo Simões,22,177,74,Brazil,70,70,Sport Club Corinthians Paulista,1900000,Right,71,70,69,69,46,60,70,70,66,71,70,71,59,71,52,71,54,69,61,68,46,48,69,70,76
4925,A. Albers,32,193,90,Denmark,70,70,SSV Jahn Regensburg,1300000,Right,61,67,45,61,29,75,72,78,54,70,55,65,52,66,46,68,73,77,88,60,38,21,75,45,60
4926,J. Chabot,24,195,85,Germany,70,75,1. FC Köln,2200000,Left,34,27,43,48,70,78,21,75,36,52,33,34,34,66,33,40,73,54,90,23,79,70,23,35,38
4927,N. Katić,25,194,80,Croatia,70,73,FC Zürich,1900000,Right,66,35,45,54,67,71,27,73,26,61,63,68,33,64,35,50,73,40,82,43,80,67,33,35,33
4928,F. Krüger,23,186,81,Germany,70,78,FC Groningen,3600000,Right,84,67,58,71,22,70,68,60,64,73,85,83,70,68,68,73,69,71,73,61,63,14,68,64,63
4929,R. Rodelin,32,193,93,France,70,70,Servette FC,1300000,Right,54,72,69,70,42,77,73,72,72,72,55,54,71,72,59,73,85,84,87,71,43,53,71,72,71
4930,D. Santacruz,27,177,74,Paraguay,70,71,Club Nacional,1800000,Right,78,73,61,73,30,50,76,39,65,70,75,80,81,65,64,70,59,33,61,75,40,24,63,72,62
4931,Hervías,29,174,71,Spain,70,70,Málaga CF,1600000,Right,78,66,67,73,59,52,65,56,51,70,78,78,85,69,73,72,68,71,35,66,65,63,66,61,58
4932,Milton Menceiros,30,182,84,Brazil,70,70,Ceará Sporting Club,1300000,Right,69,49,57,58,68,75,44,68,52,59,72,67,71,73,60,61,87,66,81,46,67,76,50,64,49
4933,Arthur Gomes,23,173,68,Brazil,70,75,Sporting CP,2400000,Right,75,64,66,70,23,47,66,59,61,68,77,74,73,68,65,64,49,59,47,60,32,17,69,74,68
4934,O. Maritu,22,182,80,Congo DR,70,77,Shijiazhuang Ever Bright F.C.,3300000,Right,82,70,41,67,19,63,76,62,70,65,78,85,71,70,58,68,73,68,74,58,27,12,74,43,67
4935,Juan Villar,34,182,72,Spain,70,70,SD Huesca,775000,Right,86,68,67,70,36,72,67,64,69,67,85,86,84,70,70,70,86,72,72,65,68,35,71,74,68
4936,G. Wikheim,29,182,65,Norway,70,70,Djurgårdens IF,1600000,Right,85,60,63,74,45,55,62,56,63,70,86,85,90,60,76,63,43,71,48,53,54,42,65,64,42
4937,Álvaro Lemos,29,175,78,Spain,70,70,Unión Deportiva Las Palmas,1400000,Right,83,64,63,70,63,80,60,60,55,69,85,82,80,65,84,74,88,91,74,67,79,66,63,63,66
4938,M. Bola,24,185,78,England,70,75,Middlesbrough,2200000,Left,75,35,54,65,67,71,33,56,26,65,76,74,64,66,67,39,64,81,71,31,61,66,51,44,36
4939,A. Murgia,25,185,78,Italy,70,73,SPAL,2100000,Right,41,64,67,68,68,60,60,70,58,72,45,38,53,72,57,69,51,52,66,69,58,73,72,70,53
4940,T. Edwards,23,175,76,England,70,77,Barnsley,3000000,Right,76,46,63,63,64,78,43,62,34,64,78,75,63,64,67,55,86,78,75,44,81,64,53,58,46
4941,Mollejo,21,176,63,Spain,70,81,Real Zaragoza,3600000,Left,81,64,64,69,37,67,69,50,47,69,83,79,76,65,83,62,72,80,62,61,64,35,69,62,53
4942,L. Dykes,26,188,84,Scotland,70,72,Queens Park Rangers,2000000,Right,67,69,51,66,29,81,70,78,67,69,65,68,62,70,66,73,79,76,83,60,81,18,72,54,74
4943,A. Ezzalzouli,20,177,73,Morocco,70,82,CA Osasuna,3800000,Right,80,61,59,77,27,48,62,34,49,76,82,79,78,66,77,65,42,44,56,59,34,18,64,62,53
4944,D. Kownacki,25,185,75,Poland,70,74,Fortuna Düsseldorf,2200000,Right,74,70,60,71,31,67,71,65,63,70,77,71,76,70,67,77,70,68,68,62,61,43,72,62,76
4945,F. Passlack,24,172,70,Germany,70,74,Borussia Dortmund,2300000,Right,69,62,67,71,66,75,61,44,53,71,76,64,75,70,86,73,74,78,71,55,83,62,63,62,66
4946,D. Nikolaou,23,188,92,Greece,70,76,Spezia,2300000,Left,54,40,45,43,71,76,25,70,25,55,53,55,42,65,50,67,77,64,82,50,75,68,29,26,49
4947,Jeong Tae Wook,25,194,92,Korea Republic,70,77,Daegu FC,2900000,Right,54,31,48,45,69,78,31,79,29,53,39,67,34,57,36,38,77,61,91,18,69,66,51,46,36
4948,Rubén Pardo,29,181,69,Spain,70,70,CD Leganés,1600000,Right,51,68,72,70,69,51,67,48,42,72,54,49,70,71,72,70,70,30,58,74,57,70,69,73,69
4949,Y. Magnin,25,183,71,France,70,73,Clermont Foot 63,1900000,Right,68,49,62,70,68,59,50,62,42,74,67,68,70,67,56,54,69,66,55,42,59,65,56,64,52
4950,H. Ekdal,23,188,76,Sweden,70,78,Djurgårdens IF,3300000,Right,66,33,47,56,71,71,30,70,36,60,64,67,56,63,55,43,82,63,77,28,63,71,37,34,28
4951,S. Appelkamp,21,175,70,Germany,70,80,Fortuna Düsseldorf,3600000,Right,69,56,68,75,37,46,63,34,52,72,75,64,91,60,85,45,61,63,39,55,36,39,63,74,46
4952,S. Bradley,30,196,90,England,70,70,Luton Town,1300000,Left,54,31,47,51,69,76,28,71,26,56,55,54,61,66,34,40,69,67,81,29,75,69,41,40,19
4953,H. Fertoli,27,174,63,Argentina,70,70,Club Atlético Talleres,1700000,Right,86,63,65,72,42,61,65,49,56,70,87,85,84,59,77,69,72,66,59,54,57,33,68,62,57
4954,O. Berg,28,178,74,Norway,70,70,Kalmar FF,1600000,Right,75,68,65,69,54,79,67,55,59,69,73,76,76,69,75,72,58,91,79,67,71,59,74,70,62
4955,Xavier,29,176,73,Portugal,70,70,Panathinaikos FC,1600000,Left,78,66,67,70,34,61,66,48,54,68,79,78,74,70,72,69,50,71,64,69,42,25,64,65,65
4956,K. Naughton,33,179,73,England,70,70,Swansea City,750000,Right,58,52,64,67,71,66,45,68,52,68,62,55,71,70,70,68,73,60,67,50,68,67,54,59,47
4958,S. Lletget,29,178,69,United States,70,70,FC Dallas,1600000,Right,71,64,71,72,60,72,63,55,60,73,69,72,75,74,72,73,59,78,76,57,56,61,68,72,56
4960,R. Hedges,26,185,65,Wales,70,70,Blackburn Rovers,1700000,Left,82,64,64,72,39,58,64,50,51,71,80,84,77,60,68,70,62,75,58,62,36,35,63,70,54
4961,Á. Lang,29,188,83,Hungary,70,70,Free agent,0,Right,60,43,45,49,71,76,40,70,30,61,58,61,60,63,67,48,71,70,81,44,70,71,46,26,56
4962,Q. Laçi,26,175,67,Albania,70,74,AC Ajaccio,2000000,Right,72,66,68,71,66,76,65,63,61,69,76,69,83,66,68,69,81,89,70,72,72,66,63,66,56
4963,S. Jørgensen,22,178,68,Denmark,70,76,Silkeborg IF,2600000,Left,78,61,64,68,24,59,62,35,48,69,77,78,74,66,70,67,55,89,52,56,40,24,70,67,42
